index,commentaires
1,pas de commentaire
1,pas de commentaire
1,"Emplacement idéal, appartement très propre, très calme. Jonathan est très arrangeant. J'ai passé un très bon séjour. Merci pour tout"
1,très propre je le recommande
1,"Bonne petite soirée chez Jonathan le séjour a été court mais très intéressant.
Merci pour ce partage"
1,"Outre un superbe séjour à Paris que j'attendais tant, j'ai également fait une très belle rencontre. Je recommande vivement Jonathan, vous pouvez y aller les yeux fermés.  L'endroit est calme et l'appartement propre et agréable. N'hésitez pas.








""Un échec est un succès si on en retient quelque chose.""

Brocéliande."
1,"Je recommande vivement le studio de Jonathan, tout est parfait rien à dire. N’hésitez pas à faire appel à lui vous pouvez y aller les yeux fermés."
1,"Nous avons eu un super séjour avec mon fils. Merci à Jonathan pour sa clarté, sa réactivité, les bons conseils et la bonne humeur!"
1,"Je recommande, un accueil chaleureux, un logement propre fonctionnel et à proximité des lieux d'intérêts.
Jonathan est vraiment très arrangeant, gentil, n'hésitez pas, foncez !"
1,J'ai très bien été accueilli et je le remercie beaucoup
1,"Allez y les yeux fermés, Jonathan est une super personne"
1,"Rapport qualité-prix imbattable, tout est parfait."
1,"Très bon rapport qualité prix, il a tout ce qui faut et le plus important, Jonathan est très sympa"
1,"Top , pas cher, proche du métro, bien indiqué, calme la nuit, propre.. je recommande"
1,"Hôte super 
Appart au top rapport qualité prix imbattable !
Je conseille vivement 
Encore merci"
1,Lesinformation. Vous pouvez faire confiance a Jonathan.s donnees sont tres fiables
1,Jonathan est sympa et l'appart est très propre bel emplacement
1,"Ne pas hésiter, excellent accueil. Jonathan est très sympathique et disponible"
1,Au top 
1,Un hôte très accueillant et chaleureux. Le rapport qualité prix est excellent er j'ai en plus passer une très bonne soirée en sa compagnie. Je le recommande vivement !
1,Au top !!!
1,L'hôte est serviable
1,"Super appartement, propre et fonctionnel.  Jonathan est très accueillant, allez y les yeux fermés."
1,"Au top,j'ai réservé chez Jonathan pour mon amie venu de Marselle,elle été très contente,accueil chaleureux,prix de la location c'est quasi donné un peu près 10 euros la nuit,juste à côté du métro front populaire ligne 12,rer b rer d,pour les véhiculés beaucoup de place pour les voitures vraiment c'est top je  recommande Jonathan le mérite encore merci."
1,Très bon accueil. Logement propre
1,"Très bon séjour chez Jonathan, une personne sympathique et agréable."
1,"Jonathan est un hôte 5*. Accueillant, de bon conseil et ouvert à la discussion vous pouvez être sûr de passer un bon séjour chez lui.
De plus, il pourrait vous surprendre par ses nombreux talents.
J'y reviendrais sans hésiter si l'occasion se présente!"
1,"Super séjour chez Jonathan
Jonathan et un hôte super sympathique et chaleureux
Je recommande"
1,Je recommande vivement
1,Jonathan est à l'écoute. Il se met en quatre pour rendre le séjour plus facile... le logement est très bien situé proche météo et commerces..
1,Un grand studio dans lequel on se sent à l’aise !
1,"Très bon accueil de Jonathan, sympathique !"
1,"Super appartement propre, proche du métro
Hôte très sympathique et sociable 
Je reviendrais"
1,Super accueil de la part de Jonathan. Impeccable je recommande.
1,"Un hôte très gentil, avec une grande ouverture d d'esprit, très zen!.
Je recommande vivement."
1,Excellent accueil de Jonathan ! A recommander !
1,Très gentil et de bons conseils !
1,Le logement est conforme à la description. Jonathan est accueillant et disponible...toute la démarche pour l'entrée dans les lieux est très claire et bien détaillée ! Si vous avez besoin d'un logement dans le quartier...n'hésitez pas !
1,"Le logement est conforme à la description. Jonathan est à votre écoute et est très sociable. Si vous recherchez un logement comme chez vous et au calme, venez chez Jonathan. Je recommande et j’y retournerai. Merci !"
1,Vous pouvez aller chez Jonathan en toute confiance
1,"Bon  hote, très réactif parfait"
1,"Accueillant, souriant, ouvert et soigné. On se sent tout de suite à l'aise chez Jonathan."
1,Jonathan est une personne très sympathique très ouvert d'esprit qui a une conversation très intéreresante.
1,"Hôtes super sympa, très bon accueil, emplacement parfait a 5min du Métro, appartement très propre m. Je recommande"
1,Vous pouvez y aller les yeux fermer
1,"Jonathan est une personne très agréable , très intéressant et gentil 
Le séjour a été enrichissant et sympathique : je recommande !!"
1,"Les instructions  de repérage, d'accès et d'arrivées sont claires et précises,  tout est conforme à la présentation. J'ai passé une très bonne nuit."
1,"Un hôte parfait, aux petits soins, tout en vous laissant votre intimité. Je recommande vivement."
1,"L'appartement est idéalement placé pour rejoindre le stade de France (en bus ou à pied), à proximité aussi du métro. L'endroit est propre, parfait pour passer la nuit.  Jonathan est très sympa et ouvert d'esprit, c'est intéressant de discuter avec lui. Je recommande !"
1,Jonathan est adorable et son logement est parfait !
1,"Je recommande vivement ! Jonathan est très sympa et la communication était parfaite. 
Apparemment très propre et pas loin du métro."
1,"Accueil exceptionnel, j’ai passé un agréable séjour et je reviendrai dès que j’en ai l’occasion , merci pour tout "
1,"Hôte arrangeant sur l’heure d’arrivée et accueillant, parfait"
1,Je recommande séjour chez Jon
1,Très bon accueil. Hôte très sympathique et logement conforme à l’annonce. Je recommande beaucoup
1,Super ! Hôte de qualité.
1,Très bon accueil et hospitalité. Hôte chaleureux et communiquant.
1,"Court séjour chez Jonathan, mais très agréable ! Appartement et emplacement super, à deux pas du métro, très facile à trouver. Accueil au top, Jonathan est disponible à répondre à vos questions et vous conseiller des endroits sympas pour votre séjour ! 
Je conseille fortement, pour un si petit prix on ne trouve pas mieux. 
Je reviendrai avec plaisir"
1,"Un appartement impeccable, un hôte agréable avec qui discuter et de bons conseils pour connaître les coins de Paris peu connus des touristes.
Je recommande chaleureusement."
1,bon accueille et très serviable. je recommande.
1,Appartement très agréable et lumineux. Communication et réactivité au top !
1,"Logement clair et propre dans une résidence sécurisée, top !"
1,Charmant
1,"Hôte très agréable ! Le logement est bien placer et il y a tout ce qu’il faut dedans .
Je recommande "
1,"Super accueil, tout proche du métro, très propre, appartement lumineux : top !"
1,"L'accueil est chaleureux, convivial, simple. Jonathan est spontanément, sincèrement sympathique. Je reviens dans une quinzaine de jours, je n'ai même pas cherché ailleurs."
1,Séjour rendu très agréable par son hospitalité et nos discussions. Je le conseille 
1,"Tres bien placé par rapport au stade de France , super pour une nuit"
1,Jonathan est un hôte très agréable qui a su me mettre à l aise et compréhensif par rapport à mon arrivée tardive  je n ai fais qu' une nuit et tout s est très bien passé.  Je recommande
1,"Canapé confortable, propre. Bon accueil. Allez y les yeux fermés... En sachant que c’est une grande pièce partagée"
1,Très réactif et sympathique
1,"Logement très propres et accueil sympathique et attentionné. Nous vous conseillons aussi le café des Arts, en bas de l immeuble avec une équipe jeune, dynamique et très serviable. En plus, nous y mangeons bien. Merci Jonathan!"
1,pas de commentaires
1,"Au top !! Je recommande vivement le canapé de Jonathan. 
Un très très bon rapport qualité/prix, et note spéciale pour le côté humain ! 
Merci beaucoup Jonathan !!"
1,"Logement simple mais sympa et calme, propriétaire très agréable et arrangeant. 
A 15, 20 min du stade de France à pied donc très simple et pratique d'accès pour ce lieu ce qui évite d'être dans les bouchons et les transports  en commun!  
Egalement proche de la station front populaire. (5 min)
En résumé un très bon compromis entre le stade et la visite de Paris."
1,Parfait
1,Je recommande  
1,Bien organisé et très proche des transport! Parfait !
1,"Hôte très sympa et appart agréable, excellent rapport qualité-prix !"
1,Super rbnb je recommande ! Appartement agréable! 
1,"Jonathan est un hôte trés sympathique et arrangeant. 
L'immeuble est trés bien sécurisé et l'accès facile.
Niveau rangement et propreté, son appartement gagnerait à ressembler aux photographies en ligne, je n'entre pas dans les détails car je pense que Jonathan va prendre en compte les remarques que je lui ai faites pour améliorer la qualité d'accueil.
La situation du logement est excellente pour accéder au Stade de France à pied. La station de métro n'est pas trés loin non plus.
Le canapé est confortable et la proximité du couchage de notre hôte n'a pas été gênante du tout. 
Le prix est en adéquation avec la prestation."
1,"Hôte très sympathique, accueil chaleureux, excellent rapport qualité prix, parfait pour ce que je cherchais  !"
1,"Très bon logement, Jonathan très sympa, nous a proposé de l'accompagner à sa soirée malheureusement nous ne pouvions pas."
1,"Jonathan est super accueillant et très gentil, son studio est confortable mais nos horaires différents me faisaient craindre de le réveiller le matin à mon départ"
1,"Très bon séjour chez Jonathan, très arrangeant et de bons conseils. La confiance s'est très vite faite. N'hésitez pas!"
1,Jonathan est dispo et très serviable . La chambre propre et le lit confortable . 
1,"Finalement je n'ai pas pu rester dans l'appartement de Jonathan, mais il m'a semblé sympathique... "
1,Pas de remarque a faire! Bon accueil 
1,Jonathan est un jeune homme très sympathique et de confiance. Séjour très agréable 
1,"Logement conforme aux photos et confortable. Jonathan est un hôte super sympa, rien à redire !"
1,"Super hôte, très sympathique, je recommande"
1,Très agréable séjour. Je recommande.
1,"Tres bon accueil, l'appartement est proche des transports. "
1,"J'ai aimé l'emplacement pas loin de la station métro et commerce, l'appartement calme, cosy et accueillant, immeuble bien sécurisé."
1,"C'était la première fois que j'utilisais Airbnb et j'en suis très content, Jonathan est accueillant, serviable, arrangeant... Je le recommande sans soucie. "
1,Jonathan est accueillant et fort sympathique. Nous avons beaucoup échangé. Séjour très agréable 
1,"Très bon accueil, Jonathan est très sympathique et très serviable. Son canapé lit est très confortable et la vue splendide ! Très bon séjour merci ! "
1,Je n'ai pas pu résider chez Jonathan suite à un imprévu. Il s'est montré arrangeant et compréhensif.
1,"Très bonne expérience chez Jonathan, quelqu'un de cultivé et agréable."
1,"Super accueil de la part de Jonathan. C'est un jeune homme très sympathique, intéressant et avec qui on peut parler.
Court séjour mais superbe expérience.
À bientôt !"
1,J'ai vécu une belle expérience. Une belle rencontre. Un accueil simple et convivial. De belles histoires à découvrir. Top pour Jonathan. 
1,"Agréable et spacieux studio. Bonne localisation par rapport au métro. Un grand merci à Jonathan pour son accueil, malgré mon arrivée tardive. "
1,Canapé très confortable. Séjour agréable.
1,"Jonathan est très arrangeant et généreux ! Arrivée en fin de soirée après un concert, ne connaissant pas Paris, ses explications pour trouver son logement étaient parfait; accueil chaleureux et souriant; l'annonce n'est pas trompeuse et le canapé-lit bien confortable je ne peux que le recommander ! :)"
1,Hôte plein de générosité et de Simplicité! Tout ce que je cherchais! Disponibilité et surtout il en faut avec moi.... : de grandes capacités d'adaptation! ! ;-) merci merc (Phone number hidden by Airbnb) pour ces supers moments d'échange! Et.... à très bientôt c'est sûr! ;-)
1,"Chouette appartement, bien situé.
Jonathan est disponible et très sympas.
Je recommande sans problème cette adresse."
1,"Jonathan est très agréable. Son appartement est situé dans un quartier plutôt calme. Le lit propose est vraiment confortable, situé dans la même pièce que celui de Jonathan mais cela ne pose aucun souci car il est très silencieux et soucieux du bien-être de des hôtes."
1,"Tout c'est très bien passé, aucune remarque négative ! "
1,"beau studio  , un confort assuré , johanthan est agréable , j’hésitai pas de revenir quand je serai à Paris , Merci pour le thé   "
