index,commentaires
1,Nous avons passé une très bonne semaine. Incroyablement bien situé pour les amoureux de Paris! Un lieu idyllique que je recommande! Rachel est à l’écoute et réactive!
1,"Très bien placé , appartement très convenable très recommandé..."
2,"Super séjour dans un bel endroit, je recommande vivement. Camille et son équipe sont très efficaces !"
2,Super hôtel! Accueil charmant! Chambre très confortable.
2,Top dans tous les domaines
2,"Hôtel que je recommande sans aucune hésitation. Avec une amie, nous y avons passé un agréable week-end. Proche de la Tour Eiffel, dans une rue au calme mais proche de nombreux commerces, chambre confortable et impeccable, espace piscine et sauna incontournable. Par ailleurs, l’ensemble du personnel se montre très accessible et à l’écoute si besoin."
2,"Excellent hôtel rapport qualité/prix sur Paris. 
Le personnel est réactif et à l’écoute.
Je recommande vivement !"
2,"Un bel endroit au calme, hyper bien situé (proche palais des sports,parc des expos),prestations en rapport avec le tarif,propreté au top ,accueil (Website hidden by Airbnb) recommande sans soucis"
2,"Un seul mot pour résumer notre week-end sur Paris « parfait »
Nous n’avons pas eu l’occasion de rencontrer Camille, mais il n’y a strictement rien à reprocher.
Personnel agréable et accueillant, chambre parfaite, propre, silencieuse...
Le petit déjeuner, excellent !
Bref, c’était parfait !
Merci pour tout "
2,"Super hôtel, chambre très propre. Un personnel très gentil, à l’écoute, serviable. Très bien placé"
2,"Hôtel propre personnel accueillant et très professionnel 
Petit déjeuner excellent 
A recommander sans hésitation"
2,"L'hotel est bien equipé, le petit déjeuner (non inclus) est bien fourni, la Chambre est petite mais jolie, par contre arriver à 23h sans lit bébé installé comme promis et devoir monter sois même le lit bébé je trouve ça très limite ! Pas de réponse de Camille 1 semaine après le sejour.. N'ayez pas de demande particulière avant de réserver !"
2,"Superbe hôtel tant par sa localisation que par le silence de la rue, l’espace spa et la présence du mini bar.
Prix tout doux ce qui en fait une très bonne adresse !"
2,Hébergement parfaitement propre dans un quartier calme de la capitale. Piscine et hamam particulièrement appréciés.
2,"Aucune compréhension si vous avez un empêchement (lié aux grèves par exemple, ce qui assez « tendance »). Sinon, bel établissement, mais je ne prendrai plus le risque."
2,"Nous avons passé un excellent séjour dans cet hôtel. La chambre n'est pas très grande mais très bien décorée et équipé 
Le plus : l'espace bien être avec la piscine. C'est parfait pour se détendre après une journée de marche dans Paris."
2,Un endroit parfait!
2,Superbe expérience ! Rien à redire !
2,"Excellente accueil, très propre et confortable."
2,"Très bon accueil, emplacement idéal, lieux très propres. Pour le prix on aurait aimé le petit déjeuner inclus."
2,"Agréable séjour, la chambre était très confortable, tout l'équipement nécessaire était présent."
2,"Hôtel parfait : la deco, le buffet, la piscine !, le sauna, le jacuzzi ! le personnel...
Merveilleux au cœur de l’hiver, dans un Paris en grève !"
2,"Nous avons passé un très bon week-end dans cet hôtel.  Il est propre et confortable. Le personnel est accueillant et disponible.  L'espace SPA est un vrai plus. L'hôtel est assez bien situé puisque nous avons pu faire tout ce que nous avions prévu, avec une grève des transports (avec de bonnes chaussures).  Deux petits bémols : un manque de réactivité aux messages (mon dernier message envoyé un jour et demi avant est resté sans réponse), et selon moi l'annonce n'est pas claire concernant les petits-déjeuners (non inclus),  mais cela n'a pas gâché le reste !"
2,"Très bel hôtel, dans un quartier calme, parfait pour un week-end à deux"
2,"Très belle chambre calme.
Propreté et équipement largement à la hauteur de mes attentes.
Piscine et espace détente top (idéal après avoir arpenté les rues parisiennes...)
je recommande volontiers cet hôtel"
2,"Très jolie chambre bien équipée et calme. Accès spa et fitness avec bel espace idéal après une journée parisienne.
Bon emplacement"
2,Parfait ! je recommande ce lieu !
2,Très belle chambre et très bel accueil.
2,Merci pour le séjour parfait
2,"Hôtel conforme à la description, nous avions une chambre donnant sur la rue mais très calme malgré tout.
Bonne literie très propre.
Métro VAUGIRARD à cinq minutes et vingt minutes des CHAMPS ÉLYSÉE.
Personnel très professionnel.
Je conseille cet hôtel."
2,Juste parfait
2,"Top, très bel hôtel avec une superbe piscine, accueil chaleureux et petit plus pour la terrasse ! Proche du métro !"
2,"L’hôtel Eiffel Blomet est vraiment superbe - Le sous sol avec la piscine et le spa sont très agréables. 
J’ai beaucoup aimé le design et la décoration de l’hôtel - ce fut un séjour très reposant."
2,Très bon hôtel
2,Merci beaucoup !
2,Merci beaucoup c’était génial
2,"Propreté irréprochable. Charmante chambre avec literie au top.
Belle découverte. Au plaisir de revenir"
2,"Très belle chambre, propreté impeccable, beau mobilier."
2,Très bon séjour
2,"L’emplacement est central, il est proche d’un métro. La chambre est un peu chère pour une seule personne sinon elle est design, assez grande et jolie. Par contre très mal isolée sur la rue et en hiver le froid passe au travers des fenêtres. La piscine est un peu froide. Sinon très bon accueil et beau standing."
2,"Très bien, petit dej au top !"
2,Tout est parfait
2,"Très bel hôtel situé à 2 min du métro Vaugirard.
Accueil chic mais pas guindé.
La chute donnait sur cour donc très calme. Excellent équipement (bouilloire, machine à café, mini bar, coffre...).
Déco recherchée. 
Le.gros plus : piscine / sauna / hammam au sous sol sans supplément. 
Ajoutez à cela un petit déjeuner ultra complet (sucré et salé) et c'est un sans faute. 
Nous reviendrons."
2,"Une perle au cœur de Paris. Tout était parfait : l’accueil très professionnel, la chambre parfaitement propre et très bien équipée, l’espace spa et piscine particulièrement apprécié par ces fortes températures et un petit-déjeuner royal. 
Un excellent rapport qualité / prix que l’on aurait envie de garder jalousement pour soi..."
2,Le logement est parfait  proche de bons restaurants et de la Tour Eiffel 
2,Très bon hôtel et très bonnes prestations. Les chambres sont spacieuses et très propres !
2,"Cet hôtel Art déco, très bien situé dans un merveilleux quartier de Paris est un endroit où l’on se sent très bien. Petit déjeuner buffet excellent. Un endroit où l’on revient "
2,Très bon acceuil spa propre et très design
2,Nous avons passé un séjour exceptionnel grâce à l'hospitalité du personnel. La piscine est incroyable et offre des moments hors du temps. Nous reviendrons forcément !
2,"Un accueil chaleureux, personnel à disposition et un emplacement au cœur du centre avec des transports à proximité."
2,"L'hôtel est superbe, les chambres très belles et bien décorées. Les services sont exceptionnels (soins, petit déjeuner, piscine)"
2,Notre séjour était exceptionnel dans ce magnifique hôtel! Le personnel était très chaleureux et à l’écoute! Les équipements et les services étaient d’une excellente qualité! Je recommande vivement!
2,"Une chambre au top, propreté nickel! Literie très confortable.
Hôte très réactive.
Merci bcp Camille !"
2,"Cette offre nous a permis de découvrir un magnifique hôtel, mon amie et moi avons pu profiter d’un séjour répondant à nos attentes à la perfection. Merci pour l’accueil !"
2,"Un excellent séjour. Le service est impeccable, le spa parfait et la déco superbe. Idéal pour un séjour pro ou touristique à Paris"
2,"Accueil chaleureux et bel hôtel. 
Dommage pour le petit oubli de nos contraintes alimentaires au petit déjeuner."
2,L'hôtel et la chambre sont vraiment très beau. Le personnel était très sympa et serviable. Nous avons particulièrement apprécié l'espace spa.
2,Jolie chambre dans un hôtel calme et très bien situé.
2,The stay was One of the most amazing experience till date.
2,The hotel is lovely and nicely located in a quiet street but close enough to everything necessary. The amenities were great and the pool/spa is worth enjoying. Overall it’s a good catch!
2,Wonderful boutique hotel! Sparkling clean and very nice decorated. I’ll certainly book again here!
2,The spa is excellent!
2,The place was really nice and had cute interior. The staff are absolutely lovely and very helpful!
2,"We had a lovely time in Paris, the wellness area in the basement is really great and the swimming pool is really large for a hotel in the middle of Paris! It’s so relaxing to come home after a busy day being a tourist in Paris :-) And then relax in the sauna and pool! The area is also perfect, lively during the day but quiet at night, metro close."
2,"Hotel incredibile, in una delle zone a mio parere più carine di Parigi e molto vicino a due stazioni della metro. Ci vogliono circa 20' a piedi dalla Tour Eiffel e la passeggiata è bellissima. Stanze ottime, comode, insonorizzate e prodotti di altissima qualità. 

SPA davvero comoda e perfetta dopo una camminata per la città, non ho parole se non ""dovete andare qui""!"
2,"Отличное место для туриста! Все необходимое есть: удобная кровать, тишина, бассейн, удобное местонахождение."
2,Its a lovely clean place to stay with very inviting (but expensive shops and cafes locally). The room seemed a bit cramp occasionally but when you're in Paris you go out and experience the city. The sauna and swimming pool in the basement definitely made the morning and evenings more relaxing and we would stay again for the rare luxury.
2,Beautiful hotel with a great location!
2,"The hotel staff is amazing! Very clean hotel, but the room is awfully small, the bathroom is more impressive and roomier than the room itself. But if you just care about a place to sleep at night like we did, then it doesn’t matter much."
2,"Muito boa localização, quarto muito acolhedor. Recomendo a 100%. Espero voltar em breve"
2,"Excellent hotel, well located and amazing customer service! Really good value for money."
2,"Great location! Loved that the area was quiet at night. Slept peacefully and was centrally located. Close to buses and subway. Unfortunately, with the strike, we weren’t able to use the subway but we made the best of it."
2,"This hotel was wonderful. Everything was so clean and and modern. It had an amazing French breakfast with croissants and sausage and fruit, etc. Our room was on the small side but so beautiful. The shower had a rainfall shower head and a little balcony which was really pretty and the bed was pretty comfy.
The hotel also had a nice pool with 2 different saunas which we used a couple times to relax after a long day exploring. The location was pretty good. It was walking distance from the Eiffel Tower (20-30) mins. 
Overall, I would for sure stay here again and recommend to anyone!"
2,Great Hotel in a great location with friendly and helpful staff.  All amenities are spot on and we would not hesitate to stay here again
2,Beautiful hotel and great location!
2,"Fantastic stay, great location and very friendly staff."
2,Great place to stay. With a short walk to the Eiffel tower
2,The hotel is amazing. The room was small but very comfortable. The bed is perfect and the shower as well. Lot of nice attentions in the room. The pool and spa room were outstanding. The breakfast was very convenient and good but the price is not included in your reservation price.  Also I would watch the very strict cancellation policy. Because of the grèves we wanted to postpone the stay and it was impossible even a week before.
2,"Lovely hotel, clean and good service. Hotel is in a great location, walking distance from eiffel tower."
2,The room is beautiful and really close to the centre. Camille made sure we could check in when we arrived and made sure we knew how to get to the hotel.
2,"Amazing place to stay. Sauna, hamam, swimming pool, room itself + a very good price for a breakfast and the breakfast itself. Everything is great. Highly recommend!"
2,Had to upgrade after seeing how small the standard room was. Overall it was great value for money though and staff was lovely. Maybe just a bit far from the city centre - we were there during the strike so had to walk everywhere or be stuck in Paris traffic
2,Great comfy stay in Paris. Pool and spa area perfect for relaxing after a busy day in the city. Hosts and staff are great and helped with anything we needed. Would come back and stay the next time we are in Paris. Lovely stay
2,Lovely hotel in Paris. Would definitely come back!
2,Amazing! Beautiful Hotel with incredible spa and Pool
2,Awesome little boutique hotel in Cambrone
2,"Wonderful hotel in a genuine Parisian neighborhood. Room was on the smaller size but  the bathroom was nicely sized and all was very clean. Breakfast was nice but just out the door were multiple bakeries and cafes to enjoy. Close to metro, pharmacy, grocery, and plenty of shops to explore. Walking distance to Eiffel Tower and other nearby sights. So glad we stayed here. Staff was wonderful and accommodating. Highest recommendation."
2,"Really lovely spa hotel! They did well in putting together the surprise I planned. Hotel was in a lovely and convenient location, great staff etc. Clean lovely quiet peaceful hotel & bedroom was lovely too! & comfortable. Camille you really welcomed us well!! & even prior was great in helping organise the trip. Thanks so much for putting together the surprise! It went very well to plan 
Will definitely use again. Thank you!"
2,"Great, clean hotel in a very nice area!"
2,Great location. Close to metro. Staff is friendly.
2,Well worth a look.  Everything was perfect and there are Metros and buses nearby direct to the centre of Paris
2,Great stay in a nice area of Paris! Short walk (20-30 mins) to Eiffel Tower!
2,위치가 조금 애매하지만 조금만 걸으면 지하철 버스 이용 가능하고 가성비가 너무 좋아요 매우 추천합니다
2,"This small hotel is just wonderful.  Absolutely as described, friendliest staff ever, all of whom speak excellent English.  Located in a great neighborhood with lots of decent and reasonable restaurants about.  Close to the Metro.  Best stop of the trip."
2,"Wonderful boutique hotel. Great location.
Amazing shower and comfy bed!
Will be back again."
2,"Fantastic Hotel, great location & beautiful rooms."
2,Excellent boutique hotel in accessible part of 15th arrondissement
2,"Good stay, good location"
2,"Very nice hotel with great facilities. The room was nicely designed, good bathroom, and was well equipped (coffee, tea, kettle, towels, radio/speaker, minibar) for a short stay. They also have umbrellas in the lobby which you can use during the day for free if it's raining.

The pool, hammam, and sauna were great to have and it was great to be able to relax after a busy day (there's also a gym).

The location is nice and quiet, as it's mainly residential. However, you still have everything you need nearby as there are bakeries, small supermarkets, and a few bars that also serve food (I recommend Le Général Beuret that's about 50m away from the hotel!) all within walking distance.

There is a metro stop (Vaugirard) just around the corner, so it's very easy to get to other parts of Paris.

Check-in and check-out were seamless, and all of the staff were very friendly and professional. 

**It should be noted that you need to pay an extra security deposit on arrival of €50/night (refunded when you check-out) as this is a room in a hotel, rather than an apartment.**"
2,"Highly recommended, didn't want to leave. The hotel is in a lovely location with a great variety of independent shops in the area. Metro is 2 minute walk and takes you anywhere at a very cheap price."
2,"방이 생각보다 많이 작아요. 
조식은 그럭저럭 먹을 만 했습니다.
다 괜찮았는데 마지막 날 뜨거운 물이 나오지 않아 겨울날씨에 찬 물로 손 발만 씻고 잤네요 ㅠㅠ
체크인 전에 에어비앤비를 통해 메시지를 보냈는데 호스트가 처음 예약 후에만 대답이 오고 그 이후에는 질문해도 전혀 답변이 없습니다. 결국 호텔로 직접 전화하니깐 안내 해 주네요. 

뜨거운 물 건에대해서는 여행자보험을 들어서 여행자보험사에 제출 할 관련 서류를 요청했는데 카운터에서 이메일로 보내준다는 확인 받고 이메일 주소 남겨줬는데 한국 도착 후에 이메일 조차 안보내주네요."
2,"Great location, close to multiple metro stations.  loved the ammenities.  great cafe near by.  would definately stay there again."
2,We had a great stay at Camille’s listing. The place was exactly how it was shown in the booking page. Very accomodating staff during checkin/checkout and a really comfortable bed to rest on after hours of walking tours in the streets of Paris. I’d highly recommend this place for couples.
2,Exceeded all expectations! Absolutely in love with the place!
2,This is a nice hotel with  great amenities. Location was excellent and the staff were very polite.  Had the breakfast on our last day and it was excellent. Great shower!
2,Lovely rom with a fantastic little spa and good cafes nearby
2,"Un gran alojamiento, habitación impecable y con estilo y los servicios de lujo!"
2,Nice hotel in a good location and very clean.
2,"An amazing hotel in a great location. Excellent facilities with the pool, spa, gym, sauna. Helpful staff and a beautifully presented room."
2,Great location and a lovely hotel to come back to away the busy areas
2,"Close to Eiffel Tower, and metro and other local amenities 
comfy bed and shower was great
pool etc was nice to have in a city hotel"
2,Lovely place and we especially enjoyed the pool and sauna .
2,"We had a lovely short stay. Beautiful decorated hotel and rooms- very clean with a cozy feeling. Friendly staff. 
On a side note. Maybe a few more hangers in the bathroom for the towels. Also the temperature of the swimming pool could be warmer, but that’s a personal preference. We enjoyed the complementary products for the bathroom, the necessity kit and slippers for the pool area. Although we would have also appreciated a more environmental friendly solution. 
Having complementary coffee and tea on the room was great. The bed was big and comfortable, with nice cushions and a big duvet cover. The hotel is a bit clairaudient in the morning, when people depart with their luggage - so maybe take earplugs with you. We didn’t had breakfast, but it looked good. We went to one of the Cafés around the corner full of locals. The neighborhood is more residential, nice and lively and well connected by metro and bus.. in some streets you might see the Eiffel tower in the distance. 
Overall the value for the price we paid on Airbnb was good and the hotel is really beautifully done, but we wouldn’t pay more for a room like we had."
2,"He estado con mi pareja. 
Nos ha gustado mucho el alojamiento. 
Tiene muchos detalles que se agradecen.
Atencion muy amable y atenta."
2,Great location to see some of the sights and do some shopping during our quick 23hr layover! The staff was very friendly.
2,Beautiful boutique hotel loved the space easy to get everywhere from would definitely stay again!
2,"Our stay was great! Communication was very easy as most employees spoke English. We arrived a couple hours early to check in, and they allowed us to use the facilities( spa, sauna, pool, steam room etc.). Rooms were a little small, but the bathroom was huge! Overall, great stay especially for the money. Would definitely recommend!!"
2,"Wonderful place at the heart of Paris, really close to the Eiffel tower! Great and very sweet hosts. The apartment was super clean, stylish and comfy. Definetely would stay there again next time we are in Paris! Highly recommend it."
